dates,mean,p2.5,p25,p75,p97.5
16/03/22,14503.106475300401,14413.764285714287,14462.07142857143,14547.035714285714,14592.567857142858
17/03/22,14515.427236315087,14420.860714285714,14471.67857142857,14561.57142857143,14611.849999999999
18/03/22,14528.486315086782,14427.675,14481.892857142857,14577.892857142857,14632.807142857142
19/03/22,14542.3541388518,14434.957142857142,14492.321428571428,14595.75,14653.796428571428
20/03/22,14557.081775700937,14442.667857142857,14503.142857142857,14613.250000000002,14676.639285714286
21/03/22,14572.673564753006,14450.671428571428,14514.642857142857,14632.32142857143,14700.171428571426
22/03/22,14589.147863818424,14459.239285714286,14526.821428571428,14653.642857142859,14726.428571428572
23/03/22,14606.351468624835,14468.192857142856,14540.142857142859,14674.785714285714,14752.492857142857
24/03/22,14624.361148197595,14478.196428571428,14553.678571428572,14697.25,14782.357142857141
25/03/22,14643.077102803738,14489.714285714286,14567.214285714286,14722.535714285714,14810.885714285712
26/03/22,14662.365153538052,14501.964285714286,14581.535714285716,14745.857142857141,14836.303571428569
27/03/22,14682.130507343125,14513.335714285717,14596.464285714286,14769.357142857143,14865.599999999999
28/03/22,14702.250333778373,14524.592857142858,14610.964285714286,14794.285714285714,14895.760714285714
29/03/22,14722.618491321762,14536.121428571427,14625.67857142857,14817.678571428572,14925.207142857143
30/03/22,14743.052069425901,14549.864285714284,14641.5,14843.785714285716,14953.650000000001
31/03/22,14763.442590120161,14563.957142857143,14657.571428571428,14864.071428571428,14984.953571428572
01/04/22,14783.69592790387,14577.353571428572,14671.928571428572,14888.285714285714,15015.017857142859
02/04/22,14803.695594125502,14588.95357142857,14686.928571428572,14913.392857142857,15043.467857142856
03/04/22,14823.398865153538,14602.57857142857,14701.357142857143,14938.75,15068.603571428572
04/04/22,14842.64686248331,14614.771428571428,14716.42857142857,14962.214285714286,15089.375
05/04/22,14861.347129506008,14629.057142857142,14731.178571428572,14983.642857142857,15108.37857142857
06/04/22,14879.616822429907,14641.910714285714,14746.464285714286,15003.142857142857,15126.714285714284
07/04/22,14897.318758344458,14657.150000000001,14761.5,15020.714285714286,15146.353571428572
08/04/22,14914.504339118825,14672.392857142857,14776.821428571428,15040.035714285714,15166.135714285716
09/04/22,14931.202937249664,14685.3,14791.5,15060.5,15184.657142857144
10/04/22,14947.398531375165,14697.814285714287,14806.178571428572,15077.285714285714,15200.335714285713
11/04/22,14963.21562082777,14714.932142857142,14821.964285714286,15094.714285714286,15214.642857142857
12/04/22,14978.713618157544,14728.05,14838.821428571428,15109.285714285714,15231.039285714283
13/04/22,14993.934579439252,14743.110714285714,14856.714285714284,15124.57142857143,15244.935714285713
14/04/22,15008.905874499333,14760.792857142857,14871.5,15138.035714285714,15257.028571428571
15/04/22,15023.574098798399,14777.785714285714,14887.392857142859,15150.535714285714,15268.00357142857
16/04/22,15038.053404539389,14794.289285714283,14906.0,15163.142857142857,15278.017857142855
17/04/22,15052.351134846462,14813.296428571426,14921.857142857143,15174.821428571428,15287.378571428571
18/04/22,15066.458277703603,14833.432142857142,14940.107142857143,15187.642857142857,15297.092857142856
19/04/22,15080.317089452605,14853.675000000001,14957.357142857141,15199.464285714284,15306.425
20/04/22,15093.864152202937,14871.907142857144,14975.32142857143,15209.357142857143,15314.696428571428
21/04/22,15107.183578104139,14893.010714285712,14991.392857142855,15219.214285714288,15321.682142857142
22/04/22,15120.22730307076,14911.721428571429,15008.892857142857,15227.714285714284,15329.55357142857
23/04/22,15132.928571428572,14930.95357142857,15026.857142857143,15235.107142857141,15337.050000000001
24/04/22,15145.334779706274,14951.103571428572,15043.57142857143,15243.07142857143,15343.407142857144
25/04/22,15157.366154873165,14970.342857142858,15060.821428571428,15249.75,15349.567857142858
26/04/22,15169.008344459282,14989.44642857143,15077.107142857143,15256.142857142857,15355.542857142857
27/04/22,15180.29038718291,15008.721428571429,15092.107142857143,15262.285714285712,15361.032142857144
28/04/22,15191.123831775702,15026.05,15106.67857142857,15268.678571428572,15366.332142857143
29/04/22,15201.55807743658,15044.675,15122.964285714286,15275.5,15370.517857142859
